Hospital,เข้าเคลม,ยอดเคลมรวม,AVG,Unnamed: 4,Unnamed: 5
เกษมราษฎร์บางแค : BCH,1457,6538558.0,4487.685655456417,,116.0
เกษมราษฎร์ประชาชื่น : BCH,1424,6948427.0,4879.5133426966295,,
เกษมราษฎร์รามคำแหง : BCH,712,4067793.0,5713.192415730337,,
เจริญกรุงประชารักษ์,44,161416.25,3668.5511363636365,,
เจ้าพระยา,2343,9377107.5,4002.1798975672214,,
เซนต์หลุยส์,2274,6521436.0,2867.8258575197888,,
เด็กสินแพทย์,9,61459.0,6828.777777777777,,
เทพธารินทร์,593,4520211.55,7622.6164418212475,,
เปาโลเมโมเรียล เกษตร : BDMS,1917,8357323.0,4359.584246218049,,
เปาโลเมโมเรียล โชคชัย4 : BDMS,1823,8427854.0,4623.068568294021,,
เปาโลเมโมเรียล พหลโยธิน : BDMS,2138,9491681.630000014,4439.514326473346,,
เพชรเวช,746,4128545.0,5534.242627345844,,
เมดพาร์ค,146,2428014.59,16630.23691780822,,
เลิดสิน,80,252307.0,3153.8375,,
เวชการุณย์รัศมิ์,32,58849.25,1839.0390625,,
เวชธานี,1269,5335983.210000001,4204.872505910166,,
เวชศาสตร์เขตร้อน,28,53867.75,1923.8482142857142,,
เสรีรักษ์,3227,10954364.5,3394.5969941121784,,
เอส วาย เอช,11,45880.0,4170.909090909091,,
แพทย์ปัญญา,95,1366752.0,14386.863157894737,,
ไทยจักษุ,8,146280.0,18285.0,,
ไทยนครินทร์,1972,6294873.0,3192.1262677484788,,
กรุงเทพ : BDMS,2045,19499237.96999999,9535.079691931536,,
กรุงเทพคริสเตียน,1650,7465903.0,4524.789696969697,,
กล้วยน้ำไท 1,532,3629626.0,6822.605263157895,,
กล้วยน้ำไท 2,5,106104.0,21220.8,,
กลาง,124,476808.9900000001,3845.2337903225816,,
คลองตัน,8,6544.0,818.0,,
คามิลเลียน,447,1067528.0,2388.2058165548096,,
จักษุ รัตนิน,158,754890.0,4777.784810126583,,
จุฬาภรณ์,193,844655.0,4376.4507772020725,,
จุฬาลงกรณ์,821,6013268.7,7324.322411693058,,
ซีจีเอชพหลโยธิน,2173,5163801.0,2376.3465255407273,,
ซีจีเอชสายไหม,1220,4213770.0,3453.909836065574,,
ตา หู คอ จมูก,677,1937881.0,2862.4534711964548,,
ตากสิน,41,146053.5,3562.2804878048782,,
ตำรวจ,96,716268.9700000003,7461.13510416667,,
ทหารผ่านศึก,26,93098.5,3580.7115384615386,,
ทหารอากาศ (สีกัน) พอ.,19,31064.0,1634.9473684210527,,
ธนบุรี 1,2734,13367753.170000004,4889.44885515728,,
ธนบุรี 2,3039,9466766.849999998,3115.09274432379,,
ธนบุรี บำรุงเมือง,86,547047.0,6361.011627906977,,
นครธน,2688,8939880.290000001,3325.848322172619,,
นพรัตนราชธานี,65,274124.25,4217.296153846154,,
นวเวช,293,695231.7200000001,2372.804505119454,,
นวมินทร์,58,300284.0,5177.310344827586,,
นวมินทร์ 9,1234,4689105.0,3799.92301458671,,
บางโพ,1941,6417386.34,3306.2268624420403,,
บางไผ่,275,662610.2800000003,2409.4919272727284,,
บางขุนเทียน 1,29,122489.0,4223.758620689655,,
บางนา 1,109,286999.0,2633.0183486238534,,
บางปะกอก 1,2582,6143565.54,2379.38247095275,,
บางปะกอก 8,595,2169378.75,3646.014705882353,,
บางปะกอก 9 อินเตอร์เนชั่นแนล,1444,5078997.609999999,3517.3113642659278,,
บางมด,141,1760491.0,12485.751773049646,,
บำรุงราษฎร์,921,6395435.679999999,6944.0126818675335,,
บีเอ็นเอช : BDMS,546,3376757.7299999995,6184.537967032966,,
บีแคร์เมดิคอลเซ็นเตอร์,1126,4072879.7000000007,3617.122291296626,,
บุญญาเวช,15,108360.0,7224.0,,
ประชาพัฒน์,14,328275.0,23448.214285714286,,
ประสานมิตร,18,93581.5,5198.972222222223,,
ปิยะเวท,432,2644738.09,6122.078912037036,,
ผิวหนัง อโศก,15,33156.0,2210.4,,
พญาไท 1 : BDMS,1298,8747246.2,6739.018644067796,,
พญาไท 2 : BDMS,2360,13959970.380000003,5915.241686440679,,
พญาไท 3 : BDMS,2877,12467015.65,4333.338773027459,,
พญาไท นวมินทร์ : BDMS,2022,7219635.6,3570.5418397626113,,
พระมงกุฎเกล้า,206,1540282.0999999999,7477.097572815534,,
พระราม 2,111,788690.0,7105.315315315315,,
พระรามเก้า,1524,7784411.0,5107.881233595801,,
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,192,699255.0,3641.953125,,
มเหสักข์,29,205938.0,7101.310344827586,,
มงกุฎวัฒนะ,2050,7009633.779999995,3419.3335512195094,,
มิชชั่น,431,1882672.0,4368.14849187935,,
มิตรประชา,212,1099562.0,5186.61320754717,,
ยันฮี,1882,6702691.25,3561.472502656748,,
รพ.ผู้สูงอายุบางขุนเทียน,2,2265.5,1132.75,,
รพ.สิรินธร,32,82199.75,2568.7421875,,
รัชดา-ท่าพระ,58,134260.0,2314.8275862068967,,
ราชพิพัฒน์,98,384454.91,3923.0092857142854,,
ราชวิถี,75,551997.5,7359.966666666666,,
รามคำแหง,2504,11570757.169999998,4620.909412939296,,
รามาธิบดี,1458,15429445.010000002,10582.60974622771,,
ราษฎร์บูรณะ,544,1433812.0,2635.6838235294117,,
ลาดกระบังกรุงเทพมหานคร,17,10255.25,603.25,,
ลาดพร้าว,2710,11873033.680000003,4381.1932398523995,,
วชิรพยาบาล,181,1410633.25,7793.553867403315,,
วิชัยเวช แยกไฟฉาย,625,1527579.0,2444.1264,,
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),2252,6491809.0,2882.686056838366,,
วิชัยยุทธ,1651,10484839.349999992,6350.599242883097,,
วิภาราม,2374,8559245.9,3605.4110783487786,,
วิภาวดี,3257,13235622.339999998,4063.746496776174,,
วิมุต,197,662102.83,3360.9280710659896,,
ศิครินทร์,2736,10936705.459999995,3997.3338669590626,,
ศิริราช ปิยมหาราชการุณย์,2576,48190088.4,18707.332453416147,,
ศิริราชพยาบาล,681,8819293.55,12950.504478707784,,
สถาบันโรคไตภูมิราชนครินทร์,55,193615.23,3520.276909090909,,
สถาบันโรคผิวหนัง,80,69930.0,874.125,,
สถาบันประสาทวิทย,70,3983267.0,56903.81428571429,,
สถาบันมะเร็งแห่งชาติ,51,125468.5,2460.1666666666665,,
สถาบันสุขภาพเด็กแห่งชาติมหาราชินี(โรงพยาบาลเด็ก),39,138778.0,3558.4102564102564,,
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,66,389585.5,5902.810606060606,,
สมิติเวชไชน่าทาวน์ : BDMS,313,1860690.8299999996,5944.69913738019,,
สมิติเวชธนบุรี : BDMS,1573,5650901.310000001,3592.4356706929443,,
สมิติเวชศรีนครินทร์ : BDMS,1414,9060045.529999997,6407.387220650635,,
สมิติเวชสุขุมวิท : BDMS,934,15863991.299999995,16985.00139186295,,
สวนเบญจกิติ เฉลิมพระเกียรติ 84 พรรษา,28,121899.0,4353.535714285715,,
สหวิทยาการมะลิ,150,999343.0,6662.286666666667,,
สินแพทย์,923,3641382.8000000003,3945.1601300108346,,
สินแพทย์ ศรีนครินทร์,446,1237772.4,2775.274439461883,,
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),39,68604.0,1759.076923076923,,
สุขสวัสดิ์,120,626123.4699999999,5217.695583333332,,
สุขุมวิท,869,4229879.1,4867.524856156501,,
หลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ,16,48454.5,3028.40625,,
หัวเฉียว,1814,5283404.18,2912.5712127894153,,
อินทรารัตน์,104,751954.0,7230.326923076923,,
Grand Total,101309,501923271.81999993,672289.5846879167,,
